company,agency_scale_score,public_openness_score,technology_readiness_score,short_read
Publicis Groupe,10,4,6,"Strong scale, weaker public legibility than platform-led peers."
WPP,10,3,5,"Very large network, but current public systems read less clearly."
Omnicom,9,3,5,"Scale remains strong, but openness and technology signals are less visible."
Dentsu Creative,8,3,5,"Still relevant structurally, but weaker on public and technical visibility."
Monks,7,8,7,"Less scale than holding-company leaders, but better digital legibility and technical coherence."
Adobe,6,9,10,"Not an agency giant, but very strong on public systems and technology maturity."
Figma,4,10,9,"Smaller scale, but exceptional openness and strong system-level relevance."
Canva,5,8,8,"Strong product motion and clear public trace compensate for lower historic scale."
Google,7,7,10,"Platform-scale power reinforced by visible technological movement."
Amazon Ads,7,5,8,"Structural advertising force with strong operational movement."
