company,circle,creative_impact,market_influence,reputation_trust,technology_readiness,distribution_power,festival_presence,public_openness,weekly_momentum,total_score,note
Adobe,Основной круг,18,13,8,15,7,8,9,9,87,"Сильная неделя за счет новых AI-инструментов, высокого качества открытого продуктового контура и устойчивой креативной позиции."
Google,Основной круг,13,14,8,15,10,6,7,8,81,"Высокое сочетание AI-обновлений, платформенной силы и рыночного охвата."
Amazon Ads,Основной круг,12,14,8,13,10,5,7,9,78,"Сильный платформенный импульс и заметное движение в рекламной инфраструктуре."
Canva,Основной круг,14,11,8,13,7,8,7,9,77,"Новые запуски усилили продуктовую, дизайнерскую и образовательную линию."
Microsoft,Основной круг,11,14,8,13,8,8,7,8,77,"Технологическая сила и расширение связки с рекламным рынком дали устойчивый подъем."
Publicis Groupe,Основной круг,14,14,8,10,7,9,4,8,74,"Агентский масштаб поддержан технологическим партнерством и видимостью в отраслевой среде."
LinkedIn,Основной круг,10,13,8,11,8,7,6,10,73,"Сильный недельный импульс через рекламные и B2B-сигналы."
Salesforce,Каннский круг,10,13,8,14,6,6,7,8,72,"Martech и AI-контур усилили рабочую значимость компании в этом цикле."
Meta,Основной круг,10,15,7,13,10,5,5,7,72,"Масштаб платформы и рекламный AI держат компанию в верхней части списка."
Monks,Каннский круг,12,11,7,11,7,8,8,7,71,"Комбинация технологичности, креативной роли и каннской видимости сработала лучше среднего."
TikTok,Основной круг,10,13,7,10,10,6,5,8,69,"Сильное движение в платформенном и рекламном направлении."
Reddit,Каннский круг,9,11,8,11,7,7,7,9,69,"Сильная неделя за счет рекламных и коммерческих сигналов, а также открытого цифрового следа."
WPP,Основной круг,12,15,7,8,8,9,3,6,68,"Масштаб и фестивальная видимость удерживают позицию, хотя продуктовый импульс слабее платформ."
Figma,Основной круг,9,9,8,14,5,5,10,8,68,"Открытый продуктовый контур и сильная технологическая дисциплина усилили место."
VML,Основной круг,14,12,8,7,6,9,3,8,67,"Сильное агентское и фестивальное присутствие поддержало рейтинг."
Dentsu Creative,Каннский круг,13,12,7,8,6,9,4,8,67,"Сочетание сетевого веса и каннской заметности дало ровный подъем."
Netflix Ads,Каннский круг,9,11,7,11,9,6,4,8,65,"Рекламный контур Netflix продолжает усиливаться как отдельный медиапродукт."
Omnicom,Основной круг,11,14,7,7,7,9,3,7,65,"Масштаб и премиальная видимость поддерживают место при более спокойной продуктовой неделе."
Ogilvy,Основной круг,13,12,8,7,6,9,3,7,65,"Творческий вес и фестивальная видимость удерживают Ogilvy в рейтинге."
Spotify Advertising,Среда премий,8,10,8,10,8,5,5,8,62,"Аудиореклама и новые решения для брендов поддержали вхождение в первую двадцатку."
